date,city,state,max_temp_F,humidity_pct,extreme_heat_event,rolling_max7,humidity_idx
2019-01-01,Phoenix,AZ,68.05,70.2,0,68.05,47.7711
2019-01-02,Phoenix,AZ,65.18,36.4,0,68.05,23.725520000000003
2019-01-03,Phoenix,AZ,67.98,51.9,0,68.05,35.281620000000004
2019-01-04,Phoenix,AZ,71.15,43.4,0,71.15,30.879100000000005
2019-01-05,Phoenix,AZ,63.79,54.3,0,71.15,34.637969999999996
2019-01-06,Phoenix,AZ,63.46,50.2,0,71.15,31.85692
2019-01-07,Phoenix,AZ,70.38,43.6,0,71.15,30.685679999999998
2019-01-08,Phoenix,AZ,66.81,54.9,0,71.15,36.67869
2019-01-09,Phoenix,AZ,61.53,68.0,0,71.15,41.8404
2019-01-10,Phoenix,AZ,65.26,48.1,0,71.15,31.390060000000002
2019-01-11,Phoenix,AZ,60.91,57.2,0,70.38,34.84052
2019-01-12,Phoenix,AZ,60.58,37.1,0,70.38,22.47518
2019-01-13,Phoenix,AZ,63.1,40.4,0,70.38,25.492399999999996
2019-01-14,Phoenix,AZ,54.16,54.7,0,66.81,29.62552
2019-01-15,Phoenix,AZ,54.6,64.8,0,65.26,35.3808
2019-01-16,Phoenix,AZ,58.94,53.6,0,65.26,31.591839999999998
2019-01-17,Phoenix,AZ,56.83,46.9,0,63.1,26.65327
2019-01-18,Phoenix,AZ,61.83,50.0,0,63.1,30.915
2019-01-19,Phoenix,AZ,56.64,37.5,0,63.1,21.24
2019-01-20,Phoenix,AZ,54.33,56.0,0,61.83,30.4248
2019-01-21,Phoenix,AZ,65.54,58.8,0,65.54,38.53752
2019-01-22,Phoenix,AZ,58.48,45.5,0,65.54,26.608399999999996
2019-01-23,Phoenix,AZ,59.37,45.3,0,65.54,26.894609999999997
2019-01-24,Phoenix,AZ,53.11,52.7,0,65.54,27.98897
2019-01-25,Phoenix,AZ,56.35,45.6,0,65.54,25.6956
2019-01-26,Phoenix,AZ,58.69,49.3,0,65.54,28.934169999999998
2019-01-27,Phoenix,AZ,53.36,71.0,0,65.54,37.8856
2019-01-28,Phoenix,AZ,59.2,47.5,0,59.37,28.12
2019-01-29,Phoenix,AZ,55.02,46.4,0,59.37,25.52928
2019-01-30,Phoenix,AZ,55.99,43.5,0,59.2,24.35565
2019-01-31,Phoenix,AZ,54.49,57.4,0,59.2,31.277260000000002
2019-02-01,Phoenix,AZ,64.05,48.2,0,64.05,30.8721
2019-02-02,Phoenix,AZ,56.33,43.5,0,64.05,24.50355
2019-02-03,Phoenix,AZ,51.9,63.2,0,64.05,32.8008
2019-02-04,Phoenix,AZ,59.18,64.2,0,64.05,37.99356
2019-02-05,Phoenix,AZ,50.76,44.0,0,64.05,22.334400000000002
2019-02-06,Phoenix,AZ,56.24,31.3,0,64.05,17.60312
2019-02-07,Phoenix,AZ,47.34,60.1,0,64.05,28.451340000000005
2019-02-08,Phoenix,AZ,49.63,43.2,0,59.18,21.440160000000002
2019-02-09,Phoenix,AZ,55.51,57.9,0,59.18,32.14029
2019-02-10,Phoenix,AZ,57.46,30.3,0,59.18,17.41038
2019-02-11,Phoenix,AZ,54.97,58.9,0,57.46,32.37733
2019-02-12,Phoenix,AZ,53.61,37.9,0,57.46,20.31819
2019-02-13,Phoenix,AZ,52.67,57.3,0,57.46,30.17991
2019-02-14,Phoenix,AZ,47.76,50.1,0,57.46,23.92776
2019-02-15,Phoenix,AZ,50.59,40.5,0,57.46,20.48895
2019-02-16,Phoenix,AZ,51.44,45.9,0,57.46,23.61096
2019-02-17,Phoenix,AZ,57.32,56.9,0,57.32,32.61508
2019-02-18,Phoenix,AZ,54.29,51.1,0,57.32,27.74219
2019-02-19,Phoenix,AZ,45.68,55.8,0,57.32,25.48944
2019-02-20,Phoenix,AZ,53.86,69.8,0,57.32,37.59428
2019-02-21,Phoenix,AZ,50.86,34.4,0,57.32,17.495839999999998
2019-02-22,Phoenix,AZ,49.53,66.2,0,57.32,32.78886000000001
2019-02-23,Phoenix,AZ,54.53,51.0,0,57.32,27.8103
2019-02-24,Phoenix,AZ,56.06,41.0,0,56.06,22.9846
2019-02-25,Phoenix,AZ,55.51,36.7,0,56.06,20.37217
2019-02-26,Phoenix,AZ,48.29,48.1,0,56.06,23.227490000000003
2019-02-27,Phoenix,AZ,50.28,59.2,0,56.06,29.76576
2019-02-28,Phoenix,AZ,52.71,48.7,0,56.06,25.669770000000003
2019-03-01,Phoenix,AZ,55.16,65.1,0,56.06,35.90915999999999
2019-03-02,Phoenix,AZ,49.23,35.5,0,56.06,17.47665
2019-03-03,Phoenix,AZ,50.29,49.9,0,55.51,25.09471
2019-03-04,Phoenix,AZ,46.5,37.5,0,55.16,17.4375
2019-03-05,Phoenix,AZ,46.04,53.6,0,55.16,24.67744
2019-03-06,Phoenix,AZ,53.98,58.9,0,55.16,31.794219999999996
2019-03-07,Phoenix,AZ,56.07,45.8,0,56.07,25.680059999999997
2019-03-08,Phoenix,AZ,50.27,24.0,0,56.07,12.0648
2019-03-09,Phoenix,AZ,54.49,52.0,0,56.07,28.3348
2019-03-10,Phoenix,AZ,51.85,54.4,0,56.07,28.2064
2019-03-11,Phoenix,AZ,47.76,54.0,0,56.07,25.790399999999998
2019-03-12,Phoenix,AZ,51.73,62.4,0,56.07,32.27952
2019-03-13,Phoenix,AZ,56.38,39.3,0,56.38,22.157339999999998
2019-03-14,Phoenix,AZ,50.03,56.8,0,56.38,28.417039999999997
2019-03-15,Phoenix,AZ,56.39,61.9,0,56.39,34.90541
2019-03-16,Phoenix,AZ,39.62,32.2,0,56.39,12.757640000000002
2019-03-17,Phoenix,AZ,53.35,53.2,0,56.39,28.3822
2019-03-18,Phoenix,AZ,50.39,45.0,0,56.39,22.675500000000003
2019-03-19,Phoenix,AZ,48.83,49.2,0,56.39,24.02436
2019-03-20,Phoenix,AZ,50.38,53.5,0,56.39,26.9533
2019-03-21,Phoenix,AZ,42.05,45.1,0,56.39,18.96455
2019-03-22,Phoenix,AZ,49.12,43.2,0,53.35,21.219839999999998
2019-03-23,Phoenix,AZ,51.43,50.3,0,53.35,25.869289999999996
2019-03-24,Phoenix,AZ,55.93,39.1,0,55.93,21.868630000000003
2019-03-25,Phoenix,AZ,47.96,39.1,0,55.93,18.75236
2019-03-26,Phoenix,AZ,46.82,56.8,0,55.93,26.593759999999996
2019-03-27,Phoenix,AZ,48.07,38.5,0,55.93,18.50695
2019-03-28,Phoenix,AZ,53.78,56.7,0,55.93,30.49326
2019-03-29,Phoenix,AZ,51.47,54.6,0,55.93,28.10262
2019-03-30,Phoenix,AZ,48.08,32.7,0,55.93,15.72216
2019-03-31,Phoenix,AZ,52.31,43.2,0,53.78,22.597920000000002
2019-04-01,Phoenix,AZ,50.7,61.9,0,53.78,31.3833
2019-04-02,Phoenix,AZ,54.25,40.2,0,54.25,21.808500000000002
2019-04-03,Phoenix,AZ,47.63,45.4,0,54.25,21.62402
2019-04-04,Phoenix,AZ,49.21,54.6,0,54.25,26.86866
2019-04-05,Phoenix,AZ,49.03,57.8,0,54.25,28.339339999999996
2019-04-06,Phoenix,AZ,44.83,47.5,0,54.25,21.294249999999998
2019-04-07,Phoenix,AZ,51.96,44.0,0,54.25,22.8624
2019-04-08,Phoenix,AZ,51.92,64.2,0,54.25,33.33264
2019-04-09,Phoenix,AZ,51.0,67.4,0,51.96,34.374
2019-04-10,Phoenix,AZ,50.15,59.8,0,51.96,29.9897
2019-04-11,Phoenix,AZ,45.54,50.9,0,51.96,23.179859999999998
2019-04-12,Phoenix,AZ,49.64,41.9,0,51.96,20.79916
2019-04-13,Phoenix,AZ,50.08,41.7,0,51.96,20.883360000000003
2019-04-14,Phoenix,AZ,48.37,55.2,0,51.92,26.700239999999997
2019-04-15,Phoenix,AZ,51.07,54.2,0,51.07,27.679940000000002
2019-04-16,Phoenix,AZ,53.48,64.0,0,53.48,34.227199999999996
2019-04-17,Phoenix,AZ,59.55,56.5,0,59.55,33.64575
2019-04-18,Phoenix,AZ,52.86,35.0,0,59.55,18.500999999999998
2019-04-19,Phoenix,AZ,53.35,60.5,0,59.55,32.27675
2019-04-20,Phoenix,AZ,52.18,40.0,0,59.55,20.872
2019-04-21,Phoenix,AZ,44.98,46.2,0,59.55,20.78076
2019-04-22,Phoenix,AZ,52.72,52.5,0,59.55,27.677999999999997
2019-04-23,Phoenix,AZ,53.24,70.0,0,59.55,37.268
2019-04-24,Phoenix,AZ,63.04,81.1,0,63.04,51.12544
2019-04-25,Phoenix,AZ,52.61,56.1,0,63.04,29.51421
2019-04-26,Phoenix,AZ,54.78,48.2,0,63.04,26.40396
2019-04-27,Phoenix,AZ,53.63,55.3,0,63.04,29.65739
2019-04-28,Phoenix,AZ,49.3,58.9,0,63.04,29.0377
2019-04-29,Phoenix,AZ,58.75,46.8,0,63.04,27.495
2019-04-30,Phoenix,AZ,57.4,68.0,0,63.04,39.032
2019-05-01,Phoenix,AZ,57.78,52.3,0,58.75,30.218939999999996
2019-05-02,Phoenix,AZ,51.2,55.0,0,58.75,28.16
2019-05-03,Phoenix,AZ,60.67,56.7,0,60.67,34.399890000000006
2019-05-04,Phoenix,AZ,49.68,54.2,0,60.67,26.92656
2019-05-05,Phoenix,AZ,57.87,58.4,0,60.67,33.796079999999996
2019-05-06,Phoenix,AZ,64.53,43.8,0,64.53,28.264139999999998
2019-05-07,Phoenix,AZ,52.05,44.4,0,64.53,23.1102
2019-05-08,Phoenix,AZ,53.99,39.0,0,64.53,21.0561
2019-05-09,Phoenix,AZ,56.91,54.4,0,64.53,30.959039999999995
2019-05-10,Phoenix,AZ,54.75,57.8,0,64.53,31.6455
2019-05-11,Phoenix,AZ,50.82,54.6,0,64.53,27.74772
2019-05-12,Phoenix,AZ,57.57,66.7,0,64.53,38.399190000000004
2019-05-13,Phoenix,AZ,53.31,49.9,0,57.57,26.601689999999998
2019-05-14,Phoenix,AZ,59.72,56.7,0,59.72,33.86124
2019-05-15,Phoenix,AZ,54.43,39.1,0,59.72,21.282130000000002
2019-05-16,Phoenix,AZ,64.58,46.1,0,64.58,29.77138
2019-05-17,Phoenix,AZ,55.53,57.0,0,64.58,31.6521
2019-05-18,Phoenix,AZ,57.66,58.5,0,64.58,33.7311
2019-05-19,Phoenix,AZ,62.49,47.1,0,64.58,29.43279
2019-05-20,Phoenix,AZ,54.61,49.3,0,64.58,26.922729999999998
2019-05-21,Phoenix,AZ,60.74,34.8,0,64.58,21.13752
2019-05-22,Phoenix,AZ,65.35,46.4,0,65.35,30.3224
2019-05-23,Phoenix,AZ,54.0,58.9,0,65.35,31.805999999999997
2019-05-24,Phoenix,AZ,61.47,55.8,0,65.35,34.30026
2019-05-25,Phoenix,AZ,62.07,55.0,0,65.35,34.1385
2019-05-26,Phoenix,AZ,64.47,50.5,0,65.35,32.55735
2019-05-27,Phoenix,AZ,56.71,50.1,0,65.35,28.411710000000003
2019-05-28,Phoenix,AZ,56.69,43.4,0,65.35,24.60346
2019-05-29,Phoenix,AZ,64.37,57.0,0,64.47,36.6909
2019-05-30,Phoenix,AZ,63.79,54.2,0,64.47,34.57418
2019-05-31,Phoenix,AZ,63.93,54.9,0,64.47,35.09757
2019-06-01,Phoenix,AZ,64.64,44.7,0,64.64,28.894080000000002
2019-06-02,Phoenix,AZ,60.85,28.5,0,64.64,17.34225
2019-06-03,Phoenix,AZ,64.83,61.0,0,64.83,39.5463
2019-06-04,Phoenix,AZ,65.4,45.2,0,65.4,29.560800000000004
2019-06-05,Phoenix,AZ,61.7,41.4,0,65.4,25.5438
2019-06-06,Phoenix,AZ,72.36,56.9,0,72.36,41.172839999999994
2019-06-07,Phoenix,AZ,67.12,46.1,0,72.36,30.942320000000006
2019-06-08,Phoenix,AZ,60.8,60.6,0,72.36,36.8448
2019-06-09,Phoenix,AZ,68.52,56.2,0,72.36,38.50824
2019-06-10,Phoenix,AZ,62.34,56.8,0,72.36,35.40912
2019-06-11,Phoenix,AZ,69.72,36.3,0,72.36,25.308359999999997
2019-06-12,Phoenix,AZ,71.55,62.1,0,72.36,44.43255
2019-06-13,Phoenix,AZ,63.97,52.6,0,71.55,33.64822
2019-06-14,Phoenix,AZ,71.45,46.3,0,71.55,33.08135
2019-06-15,Phoenix,AZ,69.59,51.4,0,71.55,35.76926
2019-06-16,Phoenix,AZ,71.57,32.2,0,71.57,23.045540000000003
2019-06-17,Phoenix,AZ,76.21,54.1,0,76.21,41.229609999999994
2019-06-18,Phoenix,AZ,67.99,39.7,0,76.21,26.99203
2019-06-19,Phoenix,AZ,66.3,36.5,0,76.21,24.199499999999997
2019-06-20,Phoenix,AZ,66.1,34.8,0,76.21,23.002799999999997
2019-06-21,Phoenix,AZ,66.74,61.1,0,76.21,40.77814
2019-06-22,Phoenix,AZ,70.04,43.7,0,76.21,30.607480000000006
2019-06-23,Phoenix,AZ,72.05,65.3,0,76.21,47.048649999999995
2019-06-24,Phoenix,AZ,72.14,44.6,0,72.14,32.17444
2019-06-25,Phoenix,AZ,74.68,32.9,0,74.68,24.569720000000004
2019-06-26,Phoenix,AZ,71.77,38.8,0,74.68,27.846759999999996
2019-06-27,Phoenix,AZ,77.88,62.4,0,77.88,48.59712
2019-06-28,Phoenix,AZ,71.35,48.4,0,77.88,34.5334
2019-06-29,Phoenix,AZ,83.63,44.5,0,83.63,37.21535
2019-06-30,Phoenix,AZ,75.59,51.6,0,83.63,39.00444
2019-07-01,Phoenix,AZ,70.0,55.0,0,83.63,38.5
2019-07-02,Phoenix,AZ,69.48,61.2,0,83.63,42.52176
2019-07-03,Phoenix,AZ,76.03,64.5,0,83.63,49.039350000000006
2019-07-04,Phoenix,AZ,73.54,46.4,0,83.63,34.12256
2019-07-05,Phoenix,AZ,77.63,36.7,0,83.63,28.49021
2019-07-06,Phoenix,AZ,77.0,45.9,0,77.63,35.342999999999996
2019-07-07,Phoenix,AZ,75.15,52.6,0,77.63,39.5289
2019-07-08,Phoenix,AZ,72.38,40.4,0,77.63,29.241519999999994
2019-07-09,Phoenix,AZ,70.04,40.4,0,77.63,28.29616
2019-07-10,Phoenix,AZ,74.64,53.4,0,77.63,39.85776
2019-07-11,Phoenix,AZ,80.18,49.5,0,80.18,39.6891
2019-07-12,Phoenix,AZ,77.93,50.3,0,80.18,39.19879
2019-07-13,Phoenix,AZ,72.41,42.4,0,80.18,30.701839999999997
2019-07-14,Phoenix,AZ,78.41,47.7,0,80.18,37.40157
2019-07-15,Phoenix,AZ,79.57,40.8,0,80.18,32.46456
2019-07-16,Phoenix,AZ,74.81,58.9,0,80.18,44.06309
2019-07-17,Phoenix,AZ,79.27,60.4,0,80.18,47.879079999999995
2019-07-18,Phoenix,AZ,79.2,31.5,0,79.57,24.948
2019-07-19,Phoenix,AZ,74.7,40.7,0,79.57,30.402900000000002
2019-07-20,Phoenix,AZ,81.01,35.0,0,81.01,28.353500000000004
2019-07-21,Phoenix,AZ,82.12,43.5,0,82.12,35.7222
2019-07-22,Phoenix,AZ,84.51,49.2,0,84.51,41.57892000000001
2019-07-23,Phoenix,AZ,84.68,35.5,0,84.68,30.061400000000003
2019-07-24,Phoenix,AZ,75.25,40.8,0,84.68,30.701999999999998
2019-07-25,Phoenix,AZ,77.3,40.0,0,84.68,30.92
2019-07-26,Phoenix,AZ,83.39,52.1,0,84.68,43.44619000000001
2019-07-27,Phoenix,AZ,83.67,50.7,0,84.68,42.42069000000001
2019-07-28,Phoenix,AZ,83.95,42.8,0,84.68,35.9306
2019-07-29,Phoenix,AZ,97.58,51.8,1,97.58,50.54643999999999
2019-07-30,Phoenix,AZ,84.72,44.5,0,97.58,37.7004
2019-07-31,Phoenix,AZ,87.25,47.3,0,97.58,41.26925
2019-08-01,Phoenix,AZ,86.79,66.7,0,97.58,57.88893000000001
2019-08-02,Phoenix,AZ,85.84,63.4,0,97.58,54.422560000000004
2019-08-03,Phoenix,AZ,82.23,37.0,0,97.58,30.4251
2019-08-04,Phoenix,AZ,86.78,58.3,0,97.58,50.59273999999999
2019-08-05,Phoenix,AZ,80.9,58.1,0,87.25,47.00290000000001
2019-08-06,Phoenix,AZ,83.29,38.5,0,87.25,32.06665
2019-08-07,Phoenix,AZ,82.53,58.2,0,86.79,48.03246
2019-08-08,Phoenix,AZ,85.04,65.4,0,86.78,55.61616000000001
2019-08-09,Phoenix,AZ,94.2,38.8,0,94.2,36.5496
2019-08-10,Phoenix,AZ,77.7,40.8,0,94.2,31.7016
2019-08-11,Phoenix,AZ,88.13,60.2,0,94.2,53.054260000000006
2019-08-12,Phoenix,AZ,79.16,52.7,0,94.2,41.71732
2019-08-13,Phoenix,AZ,83.93,55.5,0,94.2,46.58115000000001
2019-08-14,Phoenix,AZ,90.38,53.4,0,94.2,48.262919999999994
2019-08-15,Phoenix,AZ,86.49,53.9,0,94.2,46.618109999999994
2019-08-16,Phoenix,AZ,82.12,36.7,0,90.38,30.138040000000004
2019-08-17,Phoenix,AZ,83.76,60.5,0,90.38,50.674800000000005
2019-08-18,Phoenix,AZ,89.53,61.7,0,90.38,55.240010000000005
2019-08-19,Phoenix,AZ,84.07,47.7,0,90.38,40.10139
2019-08-20,Phoenix,AZ,88.04,49.6,0,90.38,43.667840000000005
2019-08-21,Phoenix,AZ,87.53,34.7,0,89.53,30.37291
